"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,839,328,356,68,13,18,16,1,2,6,,,31
W:000 D:002,349,137,147,21,5,8,5,8,2,2,1,,13
W:000 D:003,584,259,216,46,3,17,21,4,1,6,,,11
W:000 D:004,860,339,340,68,7,20,30,5,1,12,,,38
