"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
W:000 D:001,370,174,109,18,3,17,8,7,2,4,,,28
W:000 D:002,255,137,55,14,1,12,5,4,2,4,,,21
W:000 D:003,352,190,90,10,6,12,15,4,0,4,,,21
W:000 D:004,287,130,99,9,4,12,9,2,1,4,,1,16
W:000 D:005,340,189,92,8,6,13,8,1,0,4,,,19
W:000 D:006,340,172,98,7,5,18,11,4,0,5,,,20
