"",Whole Number,REP,CON,GRE,IND,REF,WRT,Blank Votes
"",,Daniel G. Stec,Daniel G. Stec,Robin M.,Daniel G. Stec,Daniel G. Stec,Write-in,
"",,,,Barkenhagen,,,,
Corinth,2524,1567,183,253,122,12,1,386
Day,449,274,40,38,13,0,0,84
Edinburg,792,494,58,54,18,2,0,166
Hadley,924,581,91,72,36,2,0,142
COUNTY TOTALS,4689,2916,372,417,189,16,1,778
