"",Whole Number,DEM,REP,CON,IND,REF,WRT,SCT,Blank Votes
"",,Carrie Woerner,Christopher H.,Christopher H.,Carrie Woerner,Christopher H.,Write-in,Scatter,
"",,,Boyark,Boyark,,Boyark,,,
W:000 D:001,370,152,141,24,18,0,1,,34
W:000 D:002,255,106,89,13,10,2,,,35
W:000 D:003,352,166,129,13,12,2,,,30
W:000 D:004,287,119,118,15,10,3,,1,21
W:000 D:005,340,153,133,11,20,1,,,22
W:000 D:006,340,162,113,14,16,3,,,32
