"",Whole Number,DEM,REP,CON,IND,REF,WRT,SCT,Blank Votes
"",,Carrie Woerner,Christopher H.,Christopher H.,Carrie Woerner,Christopher H.,Write-in,Scatter,
"",,,Boyark,Boyark,,Boyark,,,
W:000 D:001,539,265,171,34,27,2,,,40
W:000 D:002,723,59,247,29,48,1,1,,338
W:000 D:003,445,203,175,24,23,1,1,,18
W:000 D:004,471,220,147,33,28,0,,,43
W:000 D:005,602,231,249,48,31,5,,,38
