"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:001,839,159,533,78,12,26,2,2,1,,26
W:000 D:002,349,56,229,25,1,12,3,3,,,20
W:000 D:003,584,104,374,52,10,21,0,2,,,21
W:000 D:004,860,173,517,81,14,31,8,4,,,32
