"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:001,660,126,409,57,13,15,3,3,,,34
W:000 D:002,743,142,432,75,21,22,7,5,,,39
W:000 D:003,639,96,428,46,12,15,3,3,,,36
