"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:007,172,53,84,15,4,3,1,2,,,10
W:000 D:019,546,193,266,22,9,30,2,2,,,22
W:000 D:020,650,168,362,46,9,30,1,3,,,31
W:000 D:021,660,216,330,44,10,26,4,4,,,26
