"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Troy 6","U.S. House ","20","REP","Joe Vitollo","110"
"Rensselaer","Troy 7","U.S. House ","20","REP","Joe Vitollo","188"
"Rensselaer","Troy 8","U.S. House ","20","REP","Joe Vitollo","92"
"Rensselaer","Troy 9","U.S. House ","20","REP","Joe Vitollo","75"
"Rensselaer","Troy 10","U.S. House ","20","REP","Joe Vitollo","38"
"Rensselaer","Troy 11","U.S. House ","20","REP","Joe Vitollo","81"
"Rensselaer","Troy 12","U.S. House ","20","REP","Joe Vitollo","71"
"Rensselaer","Troy 13","U.S. House ","20","REP","Joe Vitollo","135"
"Rensselaer","Troy 14","U.S. House ","20","REP","Joe Vitollo","99"
"Rensselaer","Troy 15","U.S. House ","20","REP","Joe Vitollo","74"
"Rensselaer","Troy 16","U.S. House ","20","REP","Joe Vitollo","70"
"Rensselaer","Troy 17","U.S. House ","20","REP","Joe Vitollo","68"
"Rensselaer","Troy 18","U.S. House ","20","REP","Joe Vitollo","74"
"Rensselaer","Troy 19","U.S. House ","20","REP","Joe Vitollo","90"
"Rensselaer","Troy 20","U.S. House ","20","REP","Joe Vitollo","76"
"Rensselaer","Troy 21","U.S. House ","20","REP","Joe Vitollo","117"
"Rensselaer","Troy 22","U.S. House ","20","REP","Joe Vitollo","103"
"Rensselaer","Troy 23","U.S. House ","20","REP","Joe Vitollo","41"
"Rensselaer","Troy 24","U.S. House ","20","REP","Joe Vitollo","179"
"Rensselaer","Troy 25","U.S. House ","20","REP","Joe Vitollo","145"
"Rensselaer","Troy 26","U.S. House ","20","REP","Joe Vitollo","113"
"Rensselaer","Troy 27","U.S. House ","20","REP","Joe Vitollo","71"
"Rensselaer","Troy 28","U.S. House ","20","REP","Joe Vitollo","72"
"Rensselaer","Troy 29","U.S. House ","20","REP","Joe Vitollo","81"
"Rensselaer","Troy 30","U.S. House ","20","REP","Joe Vitollo","119"
"Rensselaer","Rensselaer 1","U.S. House ","20","REP","Joe Vitollo","90"
"Rensselaer","Rensselaer 2","U.S. House ","20","REP","Joe Vitollo","118"
"Rensselaer","Rensselaer 3","U.S. House ","20","REP","Joe Vitollo","81"
"Rensselaer","Rensselaer 4","U.S. House ","20","REP","Joe Vitollo","92"
"Rensselaer","Rensselaer 5","U.S. House ","20","REP","Joe Vitollo","130"
"Rensselaer","Rensselaer 6","U.S. House ","20","REP","Joe Vitollo","199"
"Rensselaer","East Greenbush 1","U.S. House ","20","REP","Joe Vitollo","315"
"Rensselaer","East Greenbush 2","U.S. House ","20","REP","Joe Vitollo","305"
"Rensselaer","East Greenbush 3","U.S. House ","20","REP","Joe Vitollo","158"
"Rensselaer","East Greenbush 4","U.S. House ","20","REP","Joe Vitollo","143"
"Rensselaer","East Greenbush 5","U.S. House ","20","REP","Joe Vitollo","77"
"Rensselaer","East Greenbush 6","U.S. House ","20","REP","Joe Vitollo","280"
"Rensselaer","East Greenbush 7","U.S. House ","20","REP","Joe Vitollo","210"
"Rensselaer","East Greenbush 8","U.S. House ","20","REP","Joe Vitollo","201"
"Rensselaer","East Greenbush 9","U.S. House ","20","REP","Joe Vitollo","130"
"Rensselaer","East Greenbush 10","U.S. House ","20","REP","Joe Vitollo","183"
"Rensselaer","East Greenbush 11","U.S. House ","20","REP","Joe Vitollo","204"
"Rensselaer","East Greenbush 12","U.S. House ","20","REP","Joe Vitollo","98"
"Rensselaer","North Greenbush 1","U.S. House ","20","REP","Joe Vitollo","113"
"Rensselaer","North Greenbush 2","U.S. House ","20","REP","Joe Vitollo","287"
"Rensselaer","North Greenbush 3","U.S. House ","20","REP","Joe Vitollo","197"
"Rensselaer","North Greenbush 4","U.S. House ","20","REP","Joe Vitollo","385"
"Rensselaer","North Greenbush 5","U.S. House ","20","REP","Joe Vitollo","269"
"Rensselaer","North Greenbush 6","U.S. House ","20","REP","Joe Vitollo","235"
"Rensselaer","North Greenbush 7","U.S. House ","20","REP","Joe Vitollo","199"
"Rensselaer","North Greenbush 8","U.S. House ","20","REP","Joe Vitollo","274"
"Rensselaer","Schodack 1","U.S. House ","20","REP","Joe Vitollo","200"
"Rensselaer","Schodack 3","U.S. House ","20","REP","Joe Vitollo","204"
"Rensselaer","Schodack 5","U.S. House ","20","REP","Joe Vitollo","121"
"Rensselaer","Schodack 6","U.S. House ","20","REP","Joe Vitollo","267"
"Rensselaer","Schodack 10","U.S. House ","20","REP","Joe Vitollo","169"
"Rensselaer","Schodack 11","U.S. House ","20","REP","Joe Vitollo","224"
"Rensselaer","Troy 1","U.S. House ","20","CON","Joe Vitollo","33"
"Rensselaer","Troy 2","U.S. House ","20","CON","Joe Vitollo","24"
