"county","precinct","office","district","party","candidate","votes"
"Rensselaer","North Greenbush 8","President","","DEM","Hillary Clinton","403"
"Rensselaer","Petersburgh 1","President","","DEM","Hillary Clinton","227"
"Rensselaer","Pittstown 1","President","","DEM","Hillary Clinton","94"
"Rensselaer","Pittstown 2","President","","DEM","Hillary Clinton","85"
"Rensselaer","Pittstown 3","President","","DEM","Hillary Clinton","118"
"Rensselaer","Pittstown 4","President","","DEM","Hillary Clinton","226"
"Rensselaer","Pittstown 5","President","","DEM","Hillary Clinton","109"
"Rensselaer","Pittstown 6","President","","DEM","Hillary Clinton","96"
"Rensselaer","Poestenkill 1","President","","DEM","Hillary Clinton","143"
"Rensselaer","Poestenkill 2","President","","DEM","Hillary Clinton","233"
"Rensselaer","Poestenkill 3","President","","DEM","Hillary Clinton","122"
"Rensselaer","Poestenkill 4","President","","DEM","Hillary Clinton","325"
"Rensselaer","Sand Lake 1","President","","DEM","Hillary Clinton","599"
"Rensselaer","Sand Lake 2","President","","DEM","Hillary Clinton","305"
"Rensselaer","Sand Lake 3","President","","DEM","Hillary Clinton","433"
"Rensselaer","Sand Lake 4","President","","DEM","Hillary Clinton","153"
"Rensselaer","Sand Lake 5","President","","DEM","Hillary Clinton","251"
"Rensselaer","Sand Lake 6","President","","DEM","Hillary Clinton","162"
"Rensselaer","Schaghticoke 1","President","","DEM","Hillary Clinton","222"
"Rensselaer","Schaghticoke 2","President","","DEM","Hillary Clinton","68"
"Rensselaer","Schaghticoke 3","President","","DEM","Hillary Clinton","172"
"Rensselaer","Schaghticoke 4","President","","DEM","Hillary Clinton","129"
"Rensselaer","Schaghticoke 5","President","","DEM","Hillary Clinton","184"
"Rensselaer","Schaghticoke 6","President","","DEM","Hillary Clinton","233"
"Rensselaer","Schaghticoke 7","President","","DEM","Hillary Clinton","188"
"Rensselaer","Schodack 1","President","","DEM","Hillary Clinton","282"
"Rensselaer","Schodack 2","President","","DEM","Hillary Clinton","145"
