"",Whole Number,REP,CON,GRE,IND,REF,WRT,Blank Votes
"",,Daniel G. Stec,Daniel G. Stec,Robin M.,Daniel G. Stec,Daniel G. Stec,Write-in,
"",,,,Barkenhagen,,,,
W:000 D:001,444,287,29,53,16,3,,56
W:000 D:002,611,414,33,56,24,2,1,81
W:000 D:003,474,284,30,45,29,3,,83
W:000 D:004,375,208,39,43,18,0,,67
W:000 D:005,620,374,52,56,35,4,,99
