"",Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
"",,Godlewski,,,,Godlewski,,,,
W:000 D:001,660,168,360,49,15,10,0,,,58
W:000 D:002,743,205,359,64,23,12,2,,,78
W:000 D:003,639,124,385,47,11,6,2,2,,62
