"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,856,307,393,55,21,14,30,3,13,4,5,11
W:000 D:002,603,219,296,27,7,10,18,2,8,2,8,6
W:000 D:003,433,133,231,30,10,4,13,2,3,2,3,2
W:000 D:004,522,178,253,30,13,4,22,7,4,2,6,3
