"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,660,201,344,43,10,16,15,7,6,2,10,6
W:000 D:002,743,232,365,64,13,15,22,7,13,3,4,5
W:000 D:003,639,175,374,34,6,8,17,2,9,4,6,4
