"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,539,231,215,24,15,7,13,5,13,5,4,7
W:000 D:002,723,301,318,28,16,10,24,3,9,2,8,4
W:000 D:003,445,169,200,25,4,8,14,1,11,2,10,1
W:000 D:004,471,182,204,32,6,10,14,3,6,1,5,8
W:000 D:005,602,215,282,44,6,7,22,3,9,2,6,6
