Mike Derrick,140,DEM
Mike Derrick,17,WOR
Elise M. Stefanik,184,REP
Elise M. Stefanik,15,CON
Elise M. Stefanik,11,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,8,GRE
Hillary Clinton and Tim Kaine,159,DEM
Hillary Clinton and Tim Kaine,8,WOR
Hillary Clinton and Tim Kaine,0,WOM
Donald J. Trump and Michael R. Pence,181,REP
Donald J. Trump and Michael R. Pence,17,CON
Jill Stein and Ajamu Baraka,7,GRE
Gary Johnson and Bill Weld,14,IND
Gary Johnson and Bill Weld,3,LIB
Elizabeth O'C Little,255,REP
Elizabeth O'C Little,20,CON
Elizabeth O'C Little,27,IND
Stephen Matthew Ruzbacki,30,GRE
Charles E. Schumer,170,DEM
Charles E. Schumer,18,WOR
Charles E. Schumer,13,IND
Charles E. Schumer,0,WOM
Wendy Long,129,REP
Wendy Long,10,CON
Wendy Long,1,REF
Robin Laverne Wilson,3,GRE
Alex Merced,6,LIB
Daniel G Stec,225,REP
Daniel G Stec,19,CON
Daniel G Stec,26,IND
Daniel G Stec,1,REF
Robin M. Barkenhagen,34,GRE
