Mike Derrick,316,DEM
Mike Derrick,23,WOR
Elise M. Stefanik,253,REP
Elise M. Stefanik,36,CON
Elise M. Stefanik,14,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,31,GRE
Hillary Clinton and Tim Kaine,375,DEM
Hillary Clinton and Tim Kaine,10,WOR
Hillary Clinton and Tim Kaine,5,WOM
Donald J. Trump and Michael R. Pence,205,REP
Donald J. Trump and Michael R. Pence,35,CON
Jill Stein and Ajamu Baraka,18,GRE
Gary Johnson and Bill Weld,23,IND
Gary Johnson and Bill Weld,10,LIB
Elizabeth O'C Little,355,REP
Elizabeth O'C Little,58,CON
Elizabeth O'C Little,56,IND
Stephen Matthew Ruzbacki,88,GRE
Charles E. Schumer,369,DEM
Charles E. Schumer,17,WOR
Charles E. Schumer,12,IND
Charles E. Schumer,7,WOM
Wendy Long,203,REP
Wendy Long,31,CON
Wendy Long,0,REF
Robin Laverne Wilson,15,GRE
Alex Merced,9,LIB
Daniel G Stec,320,REP
Daniel G Stec,46,CON
Daniel G Stec,49,IND
Daniel G Stec,1,REF
Robin M. Barkenhagen,104,GRE
