Mike Derrick,190,DEM
Mike Derrick,15,WOR
Elise M. Stefanik,258,REP
Elise M. Stefanik,21,CON
Elise M. Stefanik,18,IND
Elise M. Stefanik,0,REF
Matthew J. Funiciello,17,GRE
Hillary Clinton and Tim Kaine,238,DEM
Hillary Clinton and Tim Kaine,11,WOR
Hillary Clinton and Tim Kaine,4,WOM
Donald J. Trump and Michael R. Pence,202,REP
Donald J. Trump and Michael R. Pence,24,CON
Jill Stein and Ajamu Baraka,7,GRE
Gary Johnson and Bill Weld,15,IND
Gary Johnson and Bill Weld,8,LIB
Elizabeth O'C Little,339,REP
Elizabeth O'C Little,30,CON
Elizabeth O'C Little,43,IND
Stephen Matthew Ruzbacki,37,GRE
Charles E. Schumer,254,DEM
Charles E. Schumer,12,WOR
Charles E. Schumer,18,IND
Charles E. Schumer,3,WOM
Wendy Long,157,REP
Wendy Long,17,CON
Wendy Long,1,REF
Robin Laverne Wilson,3,GRE
Alex Merced,3,LIB
Daniel G Stec,324,REP
Daniel G Stec,26,CON
Daniel G Stec,35,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,39,GRE
