Mike Derrick,500,DEM
Mike Derrick,26,WOR
Elise M. Stefanik,515,REP
Elise M. Stefanik,51,CON
Elise M. Stefanik,35,IND
Elise M. Stefanik,2,REF
Matthew J. Funiciello,56,GRE
Hillary Clinton and Tim Kaine,570,DEM
Hillary Clinton and Tim Kaine,13,WOR
Hillary Clinton and Tim Kaine,9,WOM
Donald J. Trump and Michael R. Pence,464,REP
Donald J. Trump and Michael R. Pence,51,CON
Jill Stein and Ajamu Baraka,36,GRE
Gary Johnson and Bill Weld,54,IND
Gary Johnson and Bill Weld,15,LIB
Elizabeth O'C Little,728,REP
Elizabeth O'C Little,72,CON
Elizabeth O'C Little,96,IND
Stephen Matthew Ruzbacki,164,GRE
Charles E. Schumer,611,DEM
Charles E. Schumer,34,WOR
Charles E. Schumer,32,IND
Charles E. Schumer,12,WOM
Wendy Long,374,REP
Wendy Long,47,CON
Wendy Long,4,REF
Robin Laverne Wilson,43,GRE
Alex Merced,6,LIB
Daniel G Stec,640,REP
Daniel G Stec,67,CON
Daniel G Stec,79,IND
Daniel G Stec,8,REF
Robin M. Barkenhagen,203,GRE
